face_present,face_count,yaw,pitch,roll,left_EAR,right_EAR,gaze_direction,mouth_ratio,face_area,label
1,1,8.68,30.0,0.61,0.273,0.286,3,0.002,0.064,Normal
1,1,8.26,30.0,0.63,0.261,0.315,3,0.003,0.064,Normal
1,1,6.87,30.0,0.36,0.28,0.286,3,0.005,0.063,Normal
1,1,3.29,30.0,-0.35,0.264,0.287,3,0.003,0.062,Normal
1,1,2.26,30.0,-1.7,0.277,0.242,3,0.004,0.064,Normal
1,1,6.38,30.0,-0.68,0.295,0.283,3,0.002,0.064,Normal
1,1,6.53,30.0,0.02,0.274,0.283,3,0.001,0.067,Normal
1,1,6.37,30.0,-0.14,0.256,0.297,3,0.003,0.065,Normal
1,1,6.0,30.0,-0.06,0.273,0.29,3,0.003,0.064,Normal
1,1,6.08,30.0,-0.29,0.266,0.292,3,0.003,0.066,Normal
1,1,6.03,30.0,0.09,0.262,0.285,3,0.004,0.066,Normal
1,1,5.23,30.0,-0.04,0.261,0.289,3,0.004,0.064,Normal
1,1,3.02,30.0,-0.34,0.27,0.267,3,0.004,0.059,Normal
1,1,2.85,30.0,-0.78,0.264,0.27,3,0.004,0.062,Normal
1,1,2.91,30.0,-0.8,0.272,0.279,3,0.005,0.058,Normal
1,1,3.07,30.0,-0.51,0.271,0.276,3,0.004,0.058,Normal
1,1,3.0,30.0,-0.55,0.267,0.276,3,0.003,0.058,Normal
1,1,3.17,30.0,-0.63,0.269,0.282,3,0.003,0.062,Normal
1,1,2.99,30.0,-0.79,0.277,0.274,3,0.003,0.061,Normal
1,1,3.22,30.0,-0.84,0.273,0.278,3,0.004,0.062,Normal
1,1,3.34,30.0,-1.17,0.265,0.289,3,0.004,0.064,Normal
1,1,3.15,30.0,-1.16,0.274,0.283,3,0.002,0.065,Normal
1,1,2.82,30.0,-1.39,0.263,0.273,3,0.004,0.065,Normal
1,1,3.04,30.0,-1.21,0.263,0.268,3,0.004,0.064,Normal
1,1,5.48,30.0,-0.57,0.269,0.278,3,0.001,0.063,Normal
1,1,8.72,30.0,0.42,0.263,0.298,3,0.001,0.065,Normal
1,1,7.23,30.0,-0.12,0.264,0.276,3,0.006,0.064,Normal
1,1,7.05,30.0,0.12,0.263,0.265,3,0.006,0.063,Normal
1,1,7.41,30.0,0.15,0.177,0.085,3,0.005,0.066,Normal
1,1,7.14,30.0,0.52,0.274,0.281,3,0.001,0.069,Normal
1,1,6.28,30.0,2.17,0.281,0.283,3,0.002,0.062,Normal
1,1,4.71,30.0,2.64,0.272,0.281,3,0.001,0.06,Normal
1,1,2.04,30.0,2.44,0.271,0.268,3,0.006,0.059,Normal
1,1,1.7,30.0,2.19,0.284,0.275,3,0.004,0.059,Normal
1,1,1.48,30.0,1.47,0.282,0.279,3,0.003,0.058,Normal
1,1,1.21,30.0,1.12,0.267,0.276,3,0.002,0.059,Normal
1,1,1.56,30.0,1.06,0.273,0.26,3,0.004,0.06,Normal
1,1,1.72,30.0,0.87,0.258,0.269,3,0.003,0.061,Normal
1,1,-3.67,30.0,3.33,0.261,0.264,3,0.004,0.055,Normal
1,1,8.12,30.0,-0.46,0.263,0.296,3,0.001,0.063,Normal
1,1,6.7,30.0,0.06,0.262,0.308,3,0.005,0.065,Normal
1,1,6.04,30.0,0.07,0.263,0.297,3,0.006,0.066,Normal
1,1,5.48,30.0,-0.07,0.277,0.291,3,0.006,0.064,Normal
1,1,5.3,30.0,-0.12,0.254,0.277,3,0.005,0.064,Normal
1,1,5.37,30.0,0.05,0.267,0.282,3,0.005,0.064,Normal
1,1,5.2,30.0,-0.21,0.262,0.29,3,0.003,0.065,Normal
1,1,5.35,30.0,-0.46,0.263,0.281,3,0.004,0.065,Normal
1,1,5.3,30.0,-0.16,0.268,0.282,3,0.005,0.065,Normal
1,1,5.54,30.0,-0.5,0.276,0.297,3,0.007,0.064,Normal
1,1,5.05,30.0,-0.58,0.265,0.271,3,0.004,0.064,Normal
1,1,-0.19,30.0,-1.01,0.242,0.26,3,0.001,0.061,Normal
1,1,-0.57,30.0,-1.79,0.249,0.255,3,0.003,0.06,Normal
1,1,6.32,30.0,-1.57,0.284,0.271,3,0.001,0.064,Normal
1,1,7.84,30.0,0.56,0.281,0.286,3,0.003,0.066,Normal
1,1,7.98,30.0,1.27,0.27,0.294,3,0.004,0.063,Normal
1,1,7.83,30.0,0.72,0.266,0.293,3,0.004,0.057,Normal
1,1,8.06,30.0,0.81,0.264,0.305,3,0.003,0.057,Normal
1,1,7.13,30.0,0.45,0.276,0.296,3,0.003,0.063,Normal
1,1,6.65,30.0,0.62,0.277,0.286,3,0.003,0.062,Normal
1,1,5.12,30.0,0.24,0.276,0.274,3,0.004,0.064,Normal
1,1,4.39,30.0,-0.35,0.272,0.268,3,0.001,0.063,Normal
1,1,3.95,30.0,-0.24,0.196,0.178,3,0.002,0.063,Normal
1,1,2.18,30.0,-0.23,0.279,0.28,3,0.002,0.06,Normal
1,1,1.96,30.0,-0.3,0.262,0.263,3,0.003,0.06,Normal
1,1,1.18,30.0,0.09,0.29,0.291,3,0.004,0.061,Normal
1,1,7.28,30.0,-0.5,0.273,0.288,3,0.002,0.067,Normal
1,1,7.43,30.0,0.36,0.261,0.297,3,0.006,0.064,Normal
1,1,5.24,30.0,-0.39,0.257,0.291,3,0.003,0.066,Normal
1,1,4.59,30.0,-1.37,0.278,0.285,3,0.004,0.065,Normal
1,1,4.05,30.0,-1.57,0.284,0.285,3,0.005,0.065,Normal
1,1,3.96,30.0,-1.55,0.265,0.278,3,0.007,0.065,Normal
1,1,4.11,30.0,-1.81,0.284,0.289,3,0.004,0.066,Normal
1,1,3.72,30.0,-1.61,0.273,0.292,3,0.004,0.062,Normal
1,1,3.62,30.0,-1.52,0.272,0.286,3,0.003,0.062,Normal
1,1,3.71,30.0,-1.94,0.272,0.295,3,0.005,0.062,Normal
1,1,3.91,30.0,-2.06,0.287,0.274,3,0.004,0.062,Normal
